time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-22T17:46:28.620Z,35.4059,27.7358,9.15,4.3,mwr,,139,0.489,1.29,us,usb000s5f6,2014-08-23T20:46:21.025Z,"48km ESE of Karpathos, Greece",earthquake
2014-08-22T17:39:26.010Z,-7.3846,154.4795,50.6,5.1,mb,,56,3.92,1.09,us,usb000s5f5,2014-08-23T20:41:36.147Z,"162km SW of Panguna, Papua New Guinea",earthquake
2014-08-22T16:42:06.000Z,51.7725,178.3764,106.9,2.9,ml,,,,0.42,ak,ak11364448,2014-08-23T02:33:40.309Z,"21km SSW of Little Sitkin Island, Alaska",earthquake
2014-08-22T15:41:09.400Z,64.5347,-17.7869,7.94,4.3,mb,,132,1.539,1.18,us,usb000s5e5,2014-08-22T23:48:02.479Z,"128km S of Akureyri, Iceland",earthquake
2014-08-22T15:29:16.400Z,18.8048,-64.5146,6,2.6,Md,3,316.8,0.39705536,0.07,pr,pr14234005,2014-08-22T20:52:14.087Z,"44km NNE of Road Town, British Virgin Islands",earthquake
2014-08-22T14:34:20.200Z,18.0865,-67.05,6,2.6,Md,9,122.4,0.09522142,0.34,pr,pr14234004,2014-08-22T22:37:21.977Z,"0km NW of San German, Puerto Rico",earthquake
2014-08-22T14:29:50.840Z,-6.5418,146.7666,10.07,5.5,mb,,18,2.87,0.78,us,usb000s5dr,2014-08-25T16:37:29.000Z,"31km NW of Lae, Papua New Guinea",earthquake
2014-08-22T14:00:49.300Z,36.5105,-98.9986,5,2.7,ml,,231,,1.16,us,usb000s5dw,2014-08-23T00:17:43.431Z,"20km ENE of Mooreland, Oklahoma",earthquake
2014-08-22T13:57:02.000Z,51.8747,178.3643,113.1,2.9,ml,,,,0.57,ak,ak11364257,2014-08-23T01:23:37.259Z,"12km SW of Little Sitkin Island, Alaska",earthquake
2014-08-22T13:01:53.000Z,63.0371,-150.7798,100,2.5,ml,,,,0.83,ak,ak11364183,2014-08-22T21:06:49.912Z,"86km NNW of Talkeetna, Alaska",earthquake
2014-08-22T12:37:17.700Z,20.7937,-157.5905,6.2,4.2,Ml,,180,0.50305656,0.07,hv,hv60755221,2014-08-25T11:26:18.923Z,"61km S of Waimanalo Beach, Hawaii",earthquake
2014-08-22T10:54:53.900Z,18.7752,-64.7034,31,2.6,Md,7,277.2,0.36561432,0.15,pr,pr14234002,2014-08-22T19:00:36.042Z,"40km NNW of Road Town, British Virgin Islands",earthquake
2014-08-22T10:39:59.810Z,32.6764,47.6767,10,4.9,mb,,46,6.767,1.19,us,usb000s5a4,2014-08-22T18:45:02.172Z,"38km E of Dehloran, Iran",earthquake
2014-08-22T08:50:13.870Z,64.9658,-134.083,1,3.7,mb,,,,1.69,us,usb000s5ml,2014-08-23T06:52:19.978Z,"176km NNE of Mayo, Canada",earthquake
2014-08-22T08:45:29.050Z,56.1296,162.4941,36.88,4.7,mb,,68,4.114,1.2,us,usb000s59m,2014-08-22T16:48:23.439Z,"10km S of Ust'-Kamchatsk Staryy, Russia",earthquake
